,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout
215,216,Davinson Sánchez,Centre-Back,25,Colombia,Tottenham Hotspur,€30.00m,27,2,0,5,0,5,0
216,217,Merih Demiral,Centre-Back,24,Turkey,Atalanta BC,€30.00m,33,2,2,10,0,2,8
217,218,Gianluca Scamacca,Centre-Forward,23,Italy,US Sassuolo,€30.00m,30,13,1,6,0,11,12
218,219,Naby Keïta,Central Midfield,27,Guinea,Liverpool FC,€30.00m,28,4,1,3,0,9,14
219,220,Ousmane Dembélé,Right Winger,24,France,FC Barcelona,€30.00m,21,2,9,1,0,11,6
220,221,Manuel Akanji,Centre-Back,26,Switzerland,Borussia Dortmund,€30.00m,30,0,0,2,0,2,3
221,222,Angeliño,Left Midfield,25,Spain,RB Leipzig,€30.00m,34,2,11,3,0,2,5
222,223,Joan Jordán,Central Midfield,27,Spain,Sevilla FC,€30.00m,41,1,1,6,0,10,21
223,224,Renato Sanches,Central Midfield,24,Portugal,LOSC Lille,€30.00m,25,1,5,4,0,4,12
224,225,Ruslan Malinovskyi,Attacking Midfield,28,Ukraine,Atalanta BC,€30.00m,34,10,4,7,0,9,21
225,226,John McGinn,Central Midfield,27,Scotland,Aston Villa,€30.00m,28,3,3,7,0,0,3
226,227,Lucas Ocampos,Left Winger,27,Argentina,Sevilla FC,€30.00m,34,8,4,11,0,6,11
227,228,Sébastien Haller,Centre-Forward,27,Cote d'Ivoire,Ajax Amsterdam,€30.00m,40,34,10,6,0,1,13
228,229,Leander Dendoncker,Defensive Midfield,26,Belgium,Wolverhampton Wanderers,€30.00m,29,2,4,4,0,9,4
229,230,Álvaro Morata,Centre-Forward,29,Spain,Juventus FC,€30.00m,41,11,7,4,0,11,22
230,231,Lucas Digne,Left-Back,28,France,Aston Villa,€30.00m,23,1,1,5,0,1,2
231,232,Ciro Immobile,Centre-Forward,32,Italy,SS Lazio,€30.00m,35,26,4,4,0,1,11
232,233,Duván Zapata,Centre-Forward,30,Colombia,Atalanta BC,€30.00m,23,12,7,4,0,4,10
233,234,Gabriel Martinelli,Left Winger,20,Brazil,Arsenal FC,€28.00m,27,6,4,2,0,7,9
234,235,Benoît Badiashile,Centre-Back,21,France,AS Monaco,€28.00m,32,0,1,6,0,4,5
235,236,Dominik Szoboszlai,Left Winger,21,Hungary,RB Leipzig,€28.00m,33,8,7,2,0,16,12
236,237,Giacomo Raspadori,Centre-Forward,22,Italy,US Sassuolo,€28.00m,31,9,5,6,0,5,14
237,238,Nico Schlotterbeck,Centre-Back,22,Germany,SC Freiburg,€28.00m,30,4,0,4,0,0,4
238,239,Evan Ndicka,Centre-Back,22,France,Eintracht Frankfurt,€28.00m,33,3,3,4,0,1,0
239,240,Moise Kean,Centre-Forward,22,Italy,Juventus FC,€28.00m,34,5,2,3,1,21,12
240,241,Boubakary Soumaré,Defensive Midfield,23,France,Leicester City,€28.00m,29,0,1,2,0,12,8
241,242,Sergio Reguilón,Left-Back,25,Spain,Tottenham Hotspur,€28.00m,29,2,3,4,0,4,11
242,243,Timothy Castagne,Right-Back,26,Belgium,Leicester City,€28.00m,22,1,0,1,0,4,1
243,244,Mario Pasalic,Central Midfield,27,Croatia,Atalanta BC,€28.00m,38,10,9,5,0,13,20
244,245,Adama Traoré,Right Winger,26,Spain,FC Barcelona,€28.00m,33,1,4,0,0,15,13
245,246,John Stones,Centre-Back,27,England,Manchester City,€28.00m,20,2,0,1,0,3,1
246,247,Anthony Martial,Centre-Forward,26,France,Sevilla FC,€28.00m,19,2,1,0,0,9,9
247,248,Nathan Aké,Centre-Back,27,Netherlands,Manchester City,€28.00m,20,3,0,1,0,5,4
248,249,Andrea Belotti,Centre-Forward,28,Italy,Torino FC,€28.00m,16,4,1,0,0,5,9
249,250,Wissam Ben Yedder,Centre-Forward,31,France,AS Monaco,€28.00m,44,24,6,1,0,12,21
250,251,Mauro Icardi,Centre-Forward,29,Argentina,Paris Saint-Germain,€28.00m,29,5,0,1,0,16,5
251,252,Charles De Ketelaere,Attacking Midfield,21,Belgium,Club Brugge KV,€27.00m,44,17,9,6,0,1,14
252,253,Ismaïla Sarr,Right Winger,24,Senegal,Watford FC,€27.00m,19,6,2,2,0,3,4
253,254,Denis Zakaria,Defensive Midfield,25,Switzerland,Juventus FC,€27.00m,24,3,1,5,0,3,3
254,255,Donyell Malen,Centre-Forward,23,Netherlands,Borussia Dortmund,€27.00m,38,8,6,1,0,11,22
255,256,Nikola Vlasic,Attacking Midfield,24,Croatia,West Ham United,€27.00m,34,1,3,0,0,16,16
256,257,Xaver Schlager,Central Midfield,24,Austria,VfL Wolfsburg,€27.00m,9,0,1,1,0,1,7
257,258,Matteo Politano,Right Winger,28,Italy,SSC Napoli,€27.00m,33,3,7,2,0,14,19
258,259,João Palhinha,Defensive Midfield,26,Portugal,Sporting CP,€26.00m,33,3,0,8,1,6,12
259,260,Gabriel Barbosa,Centre-Forward,25,Brazil,Clube de Regatas do Flamengo,€26.00m,11,9,1,4,0,1,2
260,261,Joaquín Correa,Second Striker,27,Argentina,Inter Milan,€26.00m,25,4,1,3,0,17,8
261,262,Konrad Laimer,Central Midfield,24,Austria,RB Leipzig,€26.00m,31,3,3,2,0,11,18
262,263,Pedro Porro,Right-Back,22,Spain,Sporting CP,€25.00m,28,4,7,10,0,7,13
263,264,Bryan Gil,Left Winger,21,Spain,Valencia CF,€25.00m,34,1,5,6,0,14,13
264,265,Roger Ibañez,Centre-Back,23,Brazil,AS Roma,€25.00m,38,4,0,10,0,4,1
265,266,Renan Lodi,Left-Back,23,Brazil,Atlético de Madrid,€25.00m,33,4,4,3,0,19,10
266,267,Emerson Royal,Right-Back,23,Brazil,Tottenham Hotspur,€25.00m,35,0,1,3,0,12,7
267,268,Nico González,Central Midfield,20,Spain,FC Barcelona,€25.00m,38,2,2,7,0,20,12
268,269,Gabriel,Centre-Back,24,Brazil,Arsenal FC,€25.00m,29,3,0,4,0,1,2
269,270,Cody Gakpo,Left Winger,22,Netherlands,PSV Eindhoven,€25.00m,37,16,15,2,0,5,18
270,271,Aaron Ramsdale,Goalkeeper,23,England,Arsenal FC,€25.00m,29,0,0,1,0,0,0
